link,judul,tanggal,portal
https://www.cnnindonesia.com/ekonomi/20240704120539-92-1117497/garuda-singapore-airlines-akan-kolaborasi-harga-tiket-dan-servis-sama,"Garuda-Singapore Airlines Akan Kolaborasi, Harga Tiket dan Servis Sama",2024-07-04,CNN Indonesia
https://jakartaglobe.id/business/govt-plans-merger-of-garuda-indonesia-and-pelita-air-into-injourney,Gov't Plans Merger of Garuda Indonesia and Pelita Air into InJourney,2024-07-04,Jakarta Globe
https://www.cnnindonesia.com/ekonomi/20240703193931-92-1117285/bos-garuda-bocorkan-trik-dapat-tiket-murah-ke-bali-plus-diskon-hotel,Bos Garuda Bocorkan Trik Dapat Tiket Murah ke Bali Plus Diskon Hotel,2024-07-03,CNN Indonesia
https://www.kompas.com/tren/read/2024/07/03/124500565/kronologi-pesawat-garuda-putar-balik-ke-solo-usai-antar-jemaah-haji-dipicu?page=all,"Kronologi Pesawat Garuda Putar Balik ke Solo Usai Antar Jemaah Haji, Dipicu Masalah Teknis Mesin - Kompas.com",2024-07-03,Kompas.com
https://news.detik.com/berita/d-7420191/kronologi-pesawat-garuda-penjemput-jemaah-haji-putar-balik-ke-bandara-solo,Kronologi Pesawat Garuda Penjemput Jemaah Haji Putar Balik ke Bandara Solo,2024-07-03,detikNews
https://www.antaranews.com/berita/4180074/garuda-turunkan-harga-tiket-pesawat-domestik-untuk-rute-tertentu,Garuda turunkan harga tiket pesawat domestik untuk rute tertentu,2024-07-03,ANTARA News
https://www.kompas.com/tren/read/2024/07/03/113000065/sederet-insiden-pesawat-garuda-indonesia-selama-musim-haji-2024?page=all,Sederet Insiden Pesawat Garuda Indonesia Selama Musim Haji 2024 - Kompas.com,2024-07-03,Kompas.com
https://www.merdeka.com/uang/tambah-9-pesawat-garuda-indonesia-incar-pendapatan-rp49-triliun-hingga-akhir-2024-159366-mvk.html,"Tambah 9 Pesawat, Garuda Indonesia Incar Pendapatan Rp49 Triliun Hingga Akhir 2024",2024-07-03,Merdeka.com
https://www.jawapos.com/haji/014822046/garuda-siapkan-pesawat-pengganti-ga-6239-untuk-pemulangan-jamaah-haji,Garuda Siapkan Pesawat Pengganti GA-6239 untuk Pemulangan Jamaah Haji - Jawa Pos,2024-07-03,Jawa Pos
https://haji.kemenag.go.id/v5/detail/sepekan-pemulangan-jemaah-lebih-50-penerbangan-garuda-alami-keterlambatan,"Sepekan Pemulangan Jemaah, Lebih 50% Penerbangan Garuda Alami Keterlambatan",2024-06-28,Haji Kemenag
https://www.corrs.com.au/insights/high-court-says-keep-calm-and-dont-get-wound-up,TGIF 28 June 2024 – High Court says keep calm and don't get wound up (if you have foreign immunity),2024-06-28,Corrs Chambers Westgarth
https://nasional.kompas.com/read/2024/06/27/18523051/kasus-pengadaan-pesawat-garuda-soetikno-soedarjo-dituntut-6-tahun-bui,"Kasus Pengadaan Pesawat Garuda, Soetikno Soedarjo Dituntut 6 Tahun Bui",2024-06-27,Kompas.com
https://www.cnnindonesia.com/nasional/20240627171152-12-1114994/emirsyah-satar-dituntut-8-tahun-bui-di-kasus-korupsi-pesawat-garuda,Emirsyah Satar Dituntut 8 Tahun Bui di Kasus Korupsi Pesawat Garuda,2024-06-27,CNN Indonesia
https://news.detik.com/berita/d-7411839/soetikno-soedarjo-dituntut-6-tahun-bui-di-kasus-pengadaan-pesawat-garuda,Soetikno Soedarjo Dituntut 6 Tahun Bui di Kasus Pengadaan Pesawat Garuda,2024-06-27,detikNews
https://nasional.kompas.com/read/2024/06/27/17124451/emirsyah-satar-dituntut-8-tahun-penjara-di-kasus-pengadaan-pesawat-garuda?page=all,Emirsyah Satar Dituntut 8 Tahun Penjara di Kasus Pengadaan Pesawat Garuda,2024-06-27,Kompas.com
