link,judul,tanggal,portal,tag
https://jagatbisnis.com/2025/09/27/garuda-indonesia-pacu-ekspansi-armada-dan-rute-targetkan-lebih-dari-100-pesawat-pada-2029/,"Garuda Indonesia Pacu Ekspansi Armada dan Rute, Targetkan Lebih dari 100 Pesawat pada 2029",2025-09-27 00:00:00,JagatBisnis.com,Rute/Operasional
https://www.idntimes.com/business/economy/garuda-indonesia-rugi-rp2-4-triliun-di-semester-i-2025-00-3m8tp-g2qln1,"Garuda Indonesia Rugi Rp2,4 Triliun di Semester I-2025",2025-09-27 00:00:00,IDN Times,Keuangan
https://www.idntimes.com/business/economy/garuda-indonesia-bakal-gelar-rupslb-lagi-bulan-depan-00-3m8tp-rqlfzn,Garuda Indonesia Bakal Gelar RUPSLB Lagi Bulan Depan,2025-09-27 00:00:00,IDN Times,Manajemen
https://id.headtopics.com/news/ri-tancap-gas-nego-50-pesawat-boeing-73595237,RI Tancap Gas Nego 50 Pesawat Boeing - Boeing | Garuda Indonesia Berita,2025-09-27 00:00:00,Head Topics,Lainnya
https://www.merahputih.com/post/read/pemerintah-dan-operator-siapkan-diskon-tiket-pesawat-libur-akhir-tahun,Pemerintah dan Operator Siapkan Diskon Tiket Transportasi Libur Akhir Tahun,2025-09-27 00:00:00,MerahPutih,Lainnya
https://finance.detik.com/bursa-dan-valas/d-8132897/gelar-rupslb-lagi-anak-usaha-garuda-tunjuk-direktur-komisaris-baru,"Gelar RUPSLB Lagi, Anak Usaha Garuda Tunjuk Direktur-Komisaris Baru",2025-09-27 00:00:00,detikFinance,Manajemen
https://ulasan.co/batik-air-tujuan-tanjungpinang-delay-3-jam-penumpang-dapat-roti-bungkus/,"Batik Air Tujuan Tanjungpinang Delay 3 Jam, Penumpang Dapat Roti Bungkus",2025-09-27 00:00:00,Ulasan.co,Rute/Operasional
https://www.ch-aviation.com/news/158639-citilink-garuda-indonesia-to-reactivate-more-aircraft,"Citilink, Garuda Indonesia to reactivate more aircraft",2025-09-27 00:00:00,ch-aviation,Lainnya
https://www.kompas.com/tren/read/2025/09/26/061500565/hari-ini-dalam-sejarah--pesawat-garuda-jatuh-di-deli-serdang-234-orang?page=all,"Hari Ini dalam Sejarah: Pesawat Garuda Jatuh di Deli Serdang, 234 Orang Meninggal - Kompas.com",2025-09-26 00:00:00,Kompas.com,Lainnya
https://www.bloombergtechnoz.com/detail-news/85276/tidak-ada-mafia-jadwal-tapi-slot-penerbangan-dikuasai-satu-grup,"Tidak Ada Mafia Jadwal, Tapi Slot Penerbangan Dikuasai Satu Grup - Sektor Riil",2025-09-26 00:00:00,Bloomberg Technoz,Rute/Operasional
https://www.bloombergtechnoz.com/detail-news/85178/pengamat-sebut-tak-ada-mafia-jual-beli-jam-penerbangan,Pengamat Sebut Tak Ada Mafia Jual-Beli Jam Penerbangan,2025-09-26 00:00:00,Bloomberg Technoz,Rute/Operasional
https://market.bisnis.com/read/20250925/192/1914735/danantara-suntik-rp665-triliun-garuda-giaa-catat-rugi-rp233-triliun,"Danantara Suntik Rp6,65 Triliun, Garuda (GIAA) Catat Rugi Rp2,33 Triliun",2025-09-26 00:00:00,Bisnis.com,Keuangan
https://industri.kontan.co.id/news/kinerja-melemah-di-semester-i-2025-begini-strategi-garuda-indonesia-giaa-ke-depan,"Kinerja Melemah di Semester I 2025, Begini Strategi Garuda Indonesia (GIAA) Ke Depan",2025-09-26 00:00:00,kontan.co.id,Lainnya
https://www.metrotvnews.com/play/kWDCnv76-garuda-indonesia-dan-danantara-renegosiasi-kontrak-pesawat-dengan-boeing,Garuda Indonesia dan Danantara Renegosiasi Kontrak Pesawat dengan Boeing,2025-09-26 00:00:00,MetroTVNews.com,Lainnya
https://www.bloombergtechnoz.com/detail-news/85162/garuda-indonesia-giaa-pernah-tetap-bagikan-tantiem-meski-rugi,Garuda Indonesia (GIAA) Pernah Tetap Bagikan Tantiem Meski Rugi,2025-09-26 00:00:00,Bloomberg Technoz,Keuangan
https://radarjogja.jawapos.com/nusantara/656615297/garuda-indonesia-segera-buka-rute-baru-bandara-halim-perdanakusumapalembang,Garuda Indonesia Segera Buka Rute Baru Bandara Halim Perdanakusuma–Palembang - Radar Jogja,2025-09-25 00:00:00,Radar Jogja,Rute/Operasional
https://www.tempo.co/ekonomi/danantara-tanggapi-kritik-soal-merger-garuda-pelita-air-2073037,Danantara Tanggapi Kritik soal Merger Garuda-Pelita Air,2025-09-25 00:00:00,Tempo.co,Lainnya
https://www.idntimes.com/business/economy/ini-kata-danantara-soal-isu-dirkeu-garuda-dari-singapore-airlines-00-3m8tp-bj8gvz,Direktur Keuangan Garuda dari Singapore Airlines? Ini Kata Danantara,2025-09-25 00:00:00,IDN Times,Manajemen
https://www.kompas.id/artikel/pemerintah-dan-operator-siapkan-diskon-tiket-transportasi-akhir-tahun,Pemerintah dan Operator Siapkan Diskon Tiket Transportasi Akhir Tahun,2025-09-25 00:00:00,Kompas.id,Lainnya
https://koranbumn.com/hingga-2029-garuda-indonesia-berencana-menambah-lebih-dari-100-pesawat/,"Hingga 2029, Garuda Indonesia Berencana Menambah Lebih dari 100 pesawat",2025-09-25 00:00:00,Koran BUMN,Lainnya
https://www.tempo.co/ekonomi/untung-buntung-jika-garuda-merger-dengan-pelita-air-2073042,Untung-Buntung Jika Garuda Merger dengan Pelita Air,2025-09-25 00:00:00,Tempo.co,Lainnya
https://www.ch-aviation.com/news/158613-garuda-indonesia-says-pelita-air-merger-in-early-stages,Garuda Indonesia says Pelita Air merger in early stages,2025-09-25 00:00:00,ch-aviation,Lainnya
https://terkenal.co.id/read/137214/dpr-kritik-pt-garuda-indonesia-soal-terus-merugi/,DPR Kritik PT Garuda Indonesia soal Terus Merugi?,2025-09-25 00:00:00,terkenal.co.id,Keuangan
https://www.bloombergtechnoz.com/detail-news/85132/respons-kementerian-bumn-soal-kritikan-calon-direksi-asing-garuda,Respons Kementerian BUMN Soal Kritikan Calon Direksi Asing Garuda,2025-09-25 00:00:00,Bloomberg Technoz,Lainnya
https://posmetropadang.co.id/metro-bisnis/384248/garuda-indonesia-catat-kerugian-sebesar-rp-239-triliun-di-semester-i-2025/,"Garuda Indonesia Catat Kerugian Sebesar Rp 2,39 Triliun di Semester I-2025",2025-09-25 00:00:00,Posmetro Padang,Keuangan
https://www.bloombergtechnoz.com/detail-news/85069/alasan-danantara-lanjutkan-ide-merger-garuda-pelita-air,Alasan Danantara Lanjutkan Ide Merger Garuda-Pelita Air,2025-09-25 00:00:00,Bloomberg Technoz,Lainnya
https://www.tempo.co/foto/arsip/merger-pelita-air-garuda-indonesia-di-tengah-kerugian-membayangi-garuda-2073088,Merger Pelita Air-Garuda Indonesia di Tengah Kerugian Membayangi Garuda,2025-09-25 00:00:00,Tempo.co,Keuangan
https://www.inilah.com/laporan-keuangan-tunjukkan-penguatan-fundamental-saham-garuda-indonesia-meroket,"Laporan Keuangan Tunjukkan Penguatan Fundamental, Saham Garuda Indonesia Meroket",2025-09-25 00:00:00,Inilah.com,Keuangan
https://www.tempo.co/ekonomi/danantara-tanggapi-kabar-direktur-garuda-direkrut-dari-singapore-airlines-2073028,Danantara Tanggapi Kabar Direktur Garuda Direkrut dari Singapore Airlines,2025-09-25 00:00:00,Tempo.co,Manajemen
https://www.fortuneidn.com/business/bos-danantara-ketemu-boeing-di-as-nego-pembelian-pesawat-buat-garuda-00-my5jv-wk4v34,"Bos Danantara Temui Boeing di AS, Nego Pembelian Pesawat Buat Garuda",2025-09-25 00:00:00,FORTUNE Indonesia,Lainnya
https://www.tempo.co/ekonomi/garuda-indonesia-kembali-rugi-rp-2-3-triliun-lebih-besar-dari-tahun-lalu-2072887,"Garuda Indonesia Kembali Rugi Rp 2,3 Triliun, Lebih Besar dari Tahun Lalu",2025-09-25 00:00:00,Tempo.co,Keuangan
https://www.idntimes.com/business/economy/anggota-dpr-tolak-merger-garuda-pelita-dony-kita-hargai-pendapat-00-3m8tp-k2g5ml,"Anggota DPR Tolak Merger Garuda-Pelita, Dony: Kita Hargai Pendapat",2025-09-25 00:00:00,IDN Times,Lainnya
https://katadata.co.id/finansial/bursa/68d37663abb12/rugi-garuda-indonesia-giaa-bengkak-41-4-jadi-rp-2-39-triliun,"Rugi Garuda Indonesia (GIAA) Bengkak 41,4% Jadi Rp 2,39 Triliun",2025-09-24 00:00:00,Katadata.co.id,Keuangan
https://finance.detik.com/bursa-dan-valas/d-8127564/rugi-garuda-bengkak-jadi-rp-2-42-t-di-semester-i-2025,"Rugi Garuda Bengkak jadi Rp 2,42 T di Semester I 2025",2025-09-24 00:00:00,detikFinance,Keuangan
https://monitorindonesia.com/ekonomi/read/2025/09/614411/garuda-disuntik-danantara-rp-6-6-t-tetap-rugi-dpr-bubarkan-saja,"Garuda Disuntik Danantara Rp 6,6 T Tetap Rugi, DPR: Bubarkan Saja!",2025-09-24 00:00:00,Monitor Indonesia,Keuangan
https://www.kompas.id/artikel/berat-sebelah-merger-garuda-indonesia-dan-pelita-air,Berat Sebelah Merger Garuda Indonesia dan Pelita Air,2025-09-24 00:00:00,Kompas.id,Lainnya
https://www.kompas.id/artikel/en-berat-sebelah-merger-garuda-indonesia-dan-pelita-air,The One-Sided Merger of Garuda Indonesia and Pelita Air,2025-09-24 00:00:00,Kompas.id,Lainnya
https://www.pikiran-rakyat.com/ekonomi/pr-019669605/laporan-keuangan-giaa-garuda-indonesia-rugi-rp239-triliun-pada-semester-i-2025?page=all,"Laporan Keuangan GIAA: Garuda Indonesia Rugi Rp2,39 Triliun pada Semester I 2025",2025-09-24 00:00:00,Pikiran Rakyat,Keuangan
https://market.bisnis.com/read/20250924/192/1914211/jelang-merger-pelita-air-garuda-giaa-rugi-rp233-triliun-di-semester-i2025,"Jelang Merger Pelita Air, Garuda (GIAA) Rugi Rp2,33 Triliun di Semester I/2025",2025-09-24 00:00:00,Bisnis.com,Keuangan
https://marwahkepri.com/2025/09/24/garuda-indonesia-rugi-rp-242-triliun-di-semester-i-2025-pendapatan-turun-448/,"Garuda Indonesia Rugi Rp 2,42 Triliun di Semester I 2025, Pendapatan Turun 4,48%",2025-09-24 00:00:00,Marwah Kepri,Keuangan
https://www.viva.co.id/bisnis/1850473-temui-bos-boeing-di-as-rosan-dan-dirut-garuda-bakal-nego-pembelian-pesawat,"Temui Bos Boeing di AS, Rosan dan Dirut Garuda Bakal Nego Pembelian Pesawat",2025-09-24 00:00:00,VIVA.co.id,Lainnya
https://www.liputan6.com/saham/read/6167097/rugi-garuda-indonesia-naik-hingga-juni-2025,Rugi Garuda Indonesia Naik hingga Juni 2025,2025-09-24 00:00:00,Liputan6.com,Keuangan
https://www.cnnindonesia.com/ekonomi/20250922182452-92-1276487/garuda-indonesia-beli-pesawat-baru-total-punya-78-armada,"Garuda Indonesia Beli Pesawat Baru, Total Punya 78 Armada",2025-09-23 00:00:00,CNN Indonesia,Lainnya
https://www.liputan6.com/bisnis/read/6165793/usai-restrukturisasi-garuda-indonesia-kembali-diakui-dunia,"Usai Restrukturisasi, Garuda Indonesia Kembali Diakui Dunia",2025-09-23 00:00:00,Liputan6.com,Keuangan
https://video.kompas.com/watch/1877474/pesawat-garuda-ga-313-muncul-api-dan-mesin-mati-penumpang-ungkap-momen-menegangkan,"Pesawat Garuda GA-313 Muncul Api dan Mesin Mati, Penumpang Ungkap Momen Menegangkan",2025-09-23 00:00:00,Kompas.com,Lainnya
https://www.liputan6.com/bisnis/read/6165534/garuda-indonesia-tambah-7-pesawat-baru-terbanyak-pasca-pandemi-covid-19,"Garuda Indonesia Tambah 7 Pesawat Baru, Terbanyak Pasca Pandemi COVID-19",2025-09-23 00:00:00,Liputan6.com,Lainnya
https://www.liputan6.com/bisnis/read/6165308/garuda-indonesia-mau-tambah-7-pesawat-tahun-ini-5-armada-sudah-jalan,"Garuda Indonesia Mau Tambah 7 Pesawat Tahun Ini, 5 Armada Sudah Jalan",2025-09-23 00:00:00,Liputan6.com,Lainnya
https://ekonomi.bisnis.com/read/20250923/98/1913782/bos-garuda-giaa-ikut-prabowo-ke-as-untuk-nego-pembelian-pesawat-boeing,Bos Garuda (GIAA) Ikut Prabowo ke AS untuk Nego Pembelian Pesawat Boeing,2025-09-23 00:00:00,Bisnis.com,Lainnya
https://finance.detik.com/berita-ekonomi-bisnis/d-8124113/garuda-tambah-7-pesawat-baru-tahun-ini,Garuda Tambah 7 Pesawat Baru Tahun Ini,2025-09-23 00:00:00,detikFinance,Lainnya
https://www.kompas.com/tren/read/2025/09/20/113000665/viral-video-pesawat-garuda-indonesia-keluar-api-saat-terbang-ini-kata?page=all,"Viral Video Pesawat Garuda Indonesia Keluar Api Saat Terbang, Ini Kata Maskapai",2025-09-23 00:00:00,Kompas.com,Lainnya
https://en.tempo.co/read/2050959/garuda-indonesia-to-launch-new-halim-palembang-route-by-end-of-2025,Garuda Indonesia to Launch New Halim-Palembang Route by End of 2025,2025-09-23 00:00:00,Tempo.co,Lainnya
https://www.tempo.co/ekonomi/bos-garuda-soal-target-menambah-7-pesawat-tahun-ini-terbanyak-sejak-pandemi-2072140,Bos Garuda soal Target Menambah 7 Pesawat Tahun Ini: Terbanyak Sejak Pandemi,2025-09-23 00:00:00,Tempo.co,Lainnya
https://www.cnbcindonesia.com/market/20250923085413-17-669301/ini-reaksi-bos-garuda-dituding-jual-jam-penerbangan-harga-miliaran,Ini Reaksi Bos Garuda Dituding Jual Jam Penerbangan Harga Miliaran,2025-09-23 00:00:00,CNBC Indonesia,Rute/Operasional
https://money.kompas.com/read/2025/09/22/112853726/bareng-prabowo-di-as-dirut-garuda-nego-kelanjutan-rencana-pembelian-pesawat,"Bareng Prabowo di AS, Dirut Garuda Nego Kelanjutan Rencana Pembelian Pesawat Boeing",2025-09-23 00:00:00,Kompas.com,Lainnya
https://avitrader.com/2025/09/19/turkish-technic-expands-mro-ties-with-garuda-indonesia-and-citilink/,Turkish Technic expands MRO ties with Garuda Indonesia and Citilink,2025-09-23 00:00:00,AviTrader Aviation News,Lainnya
https://www.liputan6.com/bisnis/read/6165373/garuda-indonesia-bakal-pangkas-rute-penerbangan-tak-menguntungkan,Garuda Indonesia Bakal Pangkas Rute Penerbangan Tak Menguntungkan,2025-09-23 00:00:00,Liputan6.com,Rute/Operasional
https://www.dealstreetasia.com/stories/garuda-indonesia-pelita-air-merger-456420,Garuda Indonesia-Pelita Air merger plan gets new life but doubts linger,2025-09-23 00:00:00,DealStreetAsia,Lainnya
https://www.kompas.com/jawa-timur/read/2025/09/21/083033188/detik-detik-pesawat-garuda-ga-313-muncul-api-dan-mesin-mati-penumpang?page=all,"Detik-detik Pesawat Garuda GA-313 Muncul Api dan Mesin Mati, Penumpang Ungkap Suasana Mencekam",2025-09-23 00:00:00,Kompas.com,Lainnya
https://finance.detik.com/berita-ekonomi-bisnis/d-8125158/ri-tancap-gas-nego-50-pesawat-boeing,RI Tancap Gas Nego 50 Pesawat Boeing,2025-09-23 00:00:00,detikFinance,Lainnya
https://www.liputan6.com/bisnis/read/6163942/kronologi-pesawat-garuda-indonesia-dikabarkan-mati-mesin-di-udara,Kronologi Pesawat Garuda Indonesia Dikabarkan Mati Mesin di Udara,2025-09-23 00:00:00,Liputan6.com,Lainnya
https://tirto.id/garuda-klarifikasi-soal-mafia-jual-beli-slot-jam-penerbangan-hibw,Garuda Klarifikasi soal Mafia Jual-Beli Slot Jam Penerbangan,2025-09-23 00:00:00,Tirto.id,Rute/Operasional
https://www.cnbcindonesia.com/market/20250922113157-17-669023/bos-garuda-ikut-prabowo-ke-as-mau-nego-beli-pesawat-boeing,"Bos Garuda Ikut Prabowo ke AS, Mau Nego Beli Pesawat Boeing",2025-09-23 00:00:00,CNBC Indonesia,Lainnya
https://indonesiabusinesspost.com/5235/corporate-affairs/danantara-mulls-merger-of-pelita-air-and-garuda-indonesia,Danantara mulls merger of Pelita Air and Garuda Indonesia,2025-09-16 00:00:00,Indonesia Business Post,Lainnya
https://www.thejakartapost.com/business/2025/09/12/pertamina-exploring-pelita-air-garuda-indonesia-merger.html,Pertamina exploring Pelita Air-Garuda Indonesia merger,2025-09-16 00:00:00,The Jakarta Post,Lainnya
https://en.tempo.co/read/2049284/garuda-indonesia-says-pelita-air-merger-plan-still-in-exploration-stage,Garuda Indonesia Says Pelita Air Merger Plan Still in Exploration Stage,2025-09-16 00:00:00,Tempo.co English,Lainnya
https://en.tempo.co/read/2049327/danantara-still-assessing-merger-plans-for-garuda-indonesia-and-pelita-air,Danantara Still Assessing Merger Plans for Garuda Indonesia and Pelita Air,2025-09-16 00:00:00,Tempo.co English,Lainnya
https://www.ch-aviation.com/news/158344-jakarta-eyes-pelita-air-garuda-indonesia-merger,Jakarta eyes Pelita Air-Garuda Indonesia merger,2025-09-16 00:00:00,ch-aviation,Lainnya
https://marketing.co.id/5-tips-memilih-tiket-pesawat-garuda-indonesia-dengan-harga-terjangkau/,5 Tips Memilih Tiket Pesawat Garuda Indonesia dengan Harga Terjangkau,2025-09-16 00:00:00,Marketing.co.id,Lainnya
https://en.tempo.co/read/2048189/pertamina-to-divest-pelita-air-for-merger-with-garuda-indonesia,Pertamina to Divest Pelita Air for Merger with Garuda Indonesia,2025-09-16 00:00:00,Tempo.co,Lainnya
https://diskominfo.sumutprov.go.id/page/berita/gubernur-bobby-nasution-ajak-garuda-indonesia-promosikan-kekayaan-sumut,Gubernur Bobby Nasution Ajak Garuda Indonesia Promosikan Kekayaan Sumut,2025-09-09 00:00:00,Diskominfo Provsu,Lainnya
https://www.liputan6.com/bisnis/read/6146027/garuda-indonesia-umrah-festival-resmi-digelar-sediakan-49-ribu-kursi-penerbangan,"Garuda Indonesia Umrah Festival Resmi Digelar, Sediakan 49 Ribu Kursi Penerbangan",2025-08-30 00:00:00,Liputan6.com,Rute/Operasional
https://radarmalioboro.jawapos.com/lesehan/2226464213/karya-seni-erica-ricardo-hiasi-badan-pesawat-garuda-kolaborasi-unik-untuk-hut-ke-80-ri,Karya Seni Erica Ricardo Hiasi Badan Pesawat Garuda: Kolaborasi Unik untuk HUT ke-80 RI - Radar Malioboro,2025-08-30 00:00:00,Radar Malioboro,Lainnya
https://www.fimela.com/lifestyle/read/6142371/lukisan-budaya-nusantara-di-pesawat-garuda-indonesia-hiasi-langit-indonesia-di-momen-hut-ke-80-ri,Lukisan Budaya Nusantara di Pesawat Garuda Indonesia Hiasi Langit Indonesia di Momen HUT ke-80 RI,2025-08-30 00:00:00,Fimela.com,Lainnya
https://www.liputan6.com/lifestyle/read/6134040/livery-garuda-indonesia-spesial-hut-ke-80-ri-dilukis-manual-langsung-di-hanggar-pesawat,"Livery Garuda Indonesia Spesial HUT ke-80 RI, Dilukis Manual Langsung di Hanggar Pesawat",2025-08-30 00:00:00,Liputan6.com,Lainnya
https://www.tempo.co/ekonomi/ragam-promo-tiket-pesawat-spesial-hut-ke-80-ri-citilink-hingga-garuda-2057438,"Ragam Promo Tiket Pesawat Spesial HUT ke-80 RI, Citilink hingga Garuda",2025-08-30 00:00:00,Tempo.co,Lainnya
https://sumselprov.go.id/detail/berita/herman-deru-minta-penerbangan-garuda-indonesia-di-bandara-smb-ii-ditambah/baru,Herman Deru Minta Penerbangan Garuda Indonesia di Bandara SMB II Ditambah,2025-08-30 00:00:00,Pemerintah Provinsi Sumatera Selatan,Rute/Operasional
https://travel.detik.com/travel-news/d-8066542/garuda-pamer-livery-pesawat-baru-peringati-hut-ri-ke-80,Garuda Pamer Livery Pesawat Baru Peringati HUT RI ke-80,2025-08-30 00:00:00,detikTravel,Lainnya
https://www.suara.com/lifestyle/2025/08/11/150257/promo-tiket-pesawat-garuda-spesial-hut-ke-80-ri-potongan-harga-hingga-rp-800-ribu,"Promo Tiket Pesawat Garuda Spesial HUT ke-80 RI, Potongan Harga hingga Rp 800 Ribu",2025-08-30 00:00:00,Suara.com,Lainnya
https://www.metrotvnews.com/read/kELCzdwq-garuda-indonesia-bidik-penjualan-49-ribu-kursi-dari-penerbangan-umrah,Garuda Indonesia Bidik Penjualan 49 Ribu Kursi dari Penerbangan Umrah,2025-08-30 00:00:00,MetroTVNews.com,Rute/Operasional
https://travel.detik.com/travel-news/d-8087081/cerita-tiara-andini-menolak-tukar-kursi-sama-menteri-di-pesawat-garuda,Cerita Tiara Andini Menolak Tukar Kursi sama 'Menteri' di Pesawat Garuda,2025-08-30 00:00:00,detikTravel,Lainnya
https://palembang.go.id/berita/pemkot-palembang-siap-bersinergi-dengan-pt-garuda-indonesia-dukung-sektor-umkm,Pemkot Palembang Siap Bersinergi dengan PT. Garuda Indonesia Dukung Sektor UMKM,2025-08-30 00:00:00,Pemerintah Kota Palembang,Lainnya
https://money.kompas.com/read/2025/08/31/193000326/pesawat-garuda-indonesia-delay-di-beberapa-kota-imbas-demonstrasi-,"Pesawat Garuda Indonesia Delay di Beberapa Kota, Imbas Demonstrasi?",2025-08-30 00:00:00,Kompas.com,Rute/Operasional
https://banten.idntimes.com/news/business/hut-ri-ke-80-keberagaman-indonesia-dilukis-di-pesawat-garuda-01-h9ml6-h4jyx3,"HUT RI ke-80, Keberagaman Indonesia Dilukis di Pesawat Garuda",2025-08-30 00:00:00,IDN Times Banten,Lainnya
https://www.liputan6.com/bisnis/read/6140188/garuda-indonesia-gelar-promo-penerbangan-umrah-harga-tiket-mulai-segini,"Garuda Indonesia Gelar Promo Penerbangan Umrah, Harga Tiket Mulai Segini",2025-08-30 00:00:00,Liputan6.com,Rute/Operasional
https://radarbekasi.id/2025/09/01/tiara-andini-curhat-soal-kursi-pesawat-garuda-yang-diincar-seorang-menteri/,Tiara Andini Curhat Soal Kursi Pesawat Garuda yang Diincar Seorang Menteri,2025-08-30 00:00:00,Radarbekasi.id,Lainnya
https://oto.detik.com/mobil/d-8078024/ada-mitsubishi-destinator-di-pesawat-garuda-indonesia,Ada 'Mitsubishi Destinator' di Pesawat Garuda Indonesia,2025-08-30 00:00:00,detikOto,Lainnya
https://www.tempo.co/ekonomi/garuda-buka-rute-penerbangan-baru-halim-bali-2054665,Garuda Buka Rute Penerbangan Baru: Halim-Bali,2025-08-04 00:00:00,Tempo.co,Rute/Operasional
https://en.tempo.co/read/2035813/garuda-indonesia-launches-new-jakarta-bali-flight-route-via-halim-airport,Garuda Indonesia Launches New Jakarta-Bali Flight Route via Halim Airport,2025-08-04 00:00:00,Tempo.co,Lainnya
https://indoaviation.asia/garuda-indonesia-klarifikasi-rencana-pengadaan-pesawat-jumlah-dan-tipe-belum-final/,Garuda Indonesia Klarifikasi Rencana Pengadaan Pesawat: Jumlah dan Tipe Belum Final,2025-07-31 00:00:00,IndoAviation Plus,Lainnya
https://money.kompas.com/read/2025/07/30/071000126/pesawat-boeing-pesanan-ri-baru-tiba-2031-ini-saran-bos-danantara-ke-garuda?page=all,"Pesawat Boeing Pesanan RI Baru Tiba 2031, Ini Saran Bos Danantara ke Garuda Indonesia",2025-07-30 00:00:00,Kompas.com,Lainnya
https://money.kompas.com/read/2025/07/30/133725326/rencana-besar-bos-garuda-tambah-121-pesawat-dan-100-rute-penerbangan,Rencana Besar Bos Garuda: Tambah 121 Pesawat dan 100 Rute Penerbangan,2025-07-30 00:00:00,KOMPAS.com,Rute/Operasional
https://nasional.kontan.co.id/news/garuda-indonesia-baru-terima-1-pesawat-49-boeing-lainnya-dijadwalkan-2031,"Garuda Indonesia Baru Terima 1 Pesawat, 49 Boeing Lainnya Dijadwalkan 2031",2025-07-29 00:00:00,kontan.co.id,Lainnya
https://www.tempo.co/ekonomi/garuda-indonesia-akan-borong-50-boeing-777-dari-mana-dananya--2051334,Garuda Indonesia akan Borong 50 Boeing 777: Dari Mana Dananya?,2025-07-26 00:00:00,Tempo.co,Lainnya
https://sumsel.idntimes.com/travel/destination/promo-tiket-pesawat-garuda-dari-palembang-rp1-jutaan-cek-jadwalnya-00-dvg48-4sgtwl,"Promo Tiket Pesawat Garuda dari Palembang Rp1 Jutaan, Cek Jadwalnya!",2025-07-24 00:00:00,IDN Times Sumsel,Lainnya
https://jatengprov.go.id/publik/temui-ahmad-luthfi-garuda-indonesia-siap-promosikan-pariwisata-jawa-tengah/,"Temui Ahmad Luthfi, Garuda Indonesia Siap Promosikan Pariwisata Jawa Tengah",2025-07-24 00:00:00,Pemerintah Provinsi Jawa Tengah,Lainnya
https://travel.kompas.com/read/2025/07/24/083307327/promo-tiket-pesawat-garuda-indonesia-sotf-2025-jakarta-bali-pp-rp-16-jutaan,"Promo Tiket Pesawat Garuda Indonesia SOTF 2025, Jakarta-Bali PP Rp 1,6 Jutaan",2025-07-24 00:00:00,Kompas.com,Lainnya
